,Player,height,weight,born
816,Norm Van,196,86,1939
817,Neal Walk,208,99,1948
818,John Warren,190,81,1947
819,Jo Jo,190,81,1947
820,Bernie Williams,190,79,1945
821,Lee Winfield,188,78,1947
822,Don Adams,198,95,1947
823,Tiny Archibald*,185,68,1948
824,Bob Arnzen,196,92,1947
825,Dennis Awtrey,208,106,1948
826,Moe Barr,193,88,1944
827,Tom Black,208,99,1941
828,Bob Christian,208,115,1946
829,Jimmy Collins,188,79,1946
830,Joe Cooke,190,79,1948
831,Dave Cowens*,206,104,1948
832,Pete Cross,206,104,1948
833,Terry Driscoll,201,97,1947
834,Claude English,193,83,1946
835,Greg Fillmore,216,108,1947
836,Levi Fontaine,193,86,1948
837,Jake Ford,190,81,1946
838,Gary Freeman,206,95,1948
839,Walt Gilmore,198,102,1947
840,Spencer Haywood*,203,102,1949
841,Gar Heard,198,99,1948
842,Al Henry,206,86,1949
843,A.W. Holt,206,86,1949
844,Greg Howard,206,97,1948
845,John Hummer,206,104,1948
846,Greg Hyder,198,97,1948
847,George Johnson,211,111,1947
848,John Johnson,201,90,1947
849,Earnie Killum,190,81,1948
850,Ron Knight,201,97,1947
851,Sam Lacey,208,106,1948
852,Bob Lanier*,211,113,1948
853,Pete Maravich*,196,89,1947
854,Harvey Marlatt,190,83,1948
855,Eddie Mast,206,99,1948
856,Jim McMillian,196,97,1948
857,Larry Mikan,201,95,1948
858,Rex Morgan,196,86,1948
859,Calvin Murphy*,175,74,1948
860,Ralph Ogden,196,92,1948
861,Curtis Perry,201,99,1948
862,Geoff Petrie,193,86,1948
863,Mike Price,190,90,1948
864,Bob Riley,206,106,1948
865,Paul Ruffner,208,102,1948
866,Mike Silliman,198,102,1944
867,Garfield Smith,206,106,1945
868,Dave Sorenson,203,102,1948
869,Dennis Stewart,198,99,1947
870,Bill Stricker,206,95,1948
871,Gary Suiter,206,102,1945
872,Fred Taylor,196,81,1948
873,Joe Thomas,198,92,1948
874,Rudy Tomjanovich,203,98,1948
875,John Vallely,190,83,1948
876,Cornell Warner,206,99,1948
877,Bobby Washington,180,79,1947
878,Jeff Webb,193,77,1948
879,Herb White,188,88,1948
880,Milt Williams,188,82,1945
881,Willie Williams,201,90,1946
882,Marv Winkler,185,74,1948
883,Gary Zeller,190,92,1947
884,Bill Zopf,185,77,1948
885,Odis Allison,198,88,1949
886,Vic Bartolome,213,104,1948
887,Fred Brown,190,82,1948
888,Austin Carr,193,90,1948
889,Sid Catlett,198,104,1948
890,Phil Chenier,190,81,1950
891,Jim Cleamons,190,83,1949
892,Charlie Davis,188,72,1949
893,Jackie Dinkins,196,95,1950
894,Ken Durrett,201,86,1948
895,Dick Gibbs,196,95,1948
896,Clarence Glover,203,95,1947
897,Jeff Halliburton,196,87,1949
898,Fred Hilton,190,83,1948
899,Jake Jones,190,81,1949
900,Mo Layton,185,81,1948
901,Stan Love,206,97,1949
902,Charlie Lowery,190,83,1949
903,Jim Marsh,201,97,1946
904,Jim McDaniels,211,103,1948
905,Gil McGregor,203,108,1949
906,Kenny McIntosh,201,102,1949
907,Cliff Meely,203,97,1947
908,Dean Meminger,183,79,1948
909,John Mengelt,188,88,1949
910,Barry Nelson,208,104,1949
911,Mike Newlin,193,90,1949
912,Willie Norwood,201,99,1947
913,Steve Patterson,206,102,1948
914,Tom Payne,218,108,1950
915,Howard Porter,203,99,1948
916,Clifford Ray,206,104,1949
917,Jackie Ridgle,193,88,1948
918,Rich Rinaldi,190,88,1949
919,Curtis Rowe,201,102,1949
920,Charlie Scott,196,79,1948
921,Elmore Smith,213,113,1949
922,Randy Smith,190,81,1948
923,William Smith,213,99,1949
924,Larry Steele,196,81,1949
925,George Trapp,203,92,1948
926,Sidney Wicks,203,102,1949
927,Nate Williams,196,97,1950
928,Isaiah Wilson,188,79,1948
929,Dave Wohl,188,83,1949
930,Barry Yates,201,97,1946
931,Charlie Yelverton,188,86,1948
932,Henry Bibby,185,83,1949
933,Freddie Boyd,188,81,1950
934,Steve Bracey,185,79,1950
935,John Brisker,196,95,1947
936,Roger Brown,196,92,1942
937,Corky Calhoun,201,95,1950
938,Bob Davis,201,97,1950
939,Dwight Davis,203,99,1949
940,Mickey Davis,190,83,1946
941,Charles Dudley,188,81,1950
942,Scott English,198,92,1950
943,Chris Ford,196,86,1949
944,Harold Fox,188,79,1949
945,Rowland Garrett,198,95,1950
946,John Gianelli,208,99,1950
947,Travis Grant,201,97,1950
948,Luther Green,201,86,1946
949,Charles Johnson,183,77,1949
950,Ollie Johnson,198,90,1949
951,Manny Leaks,203,102,1945
952,Russ Lee,196,83,1950
953,LaRue Martin,211,94,1950
954,Bob McAdoo*,206,95,1951
955,Paul McCracken,193,81,1950
956,Eric McWilliams,203,90,1950
957,Mark Minor,198,97,1950
958,Bob Nash,203,88,1950
959,Lloyd Neal,201,102,1950
960,Tom Patterson,198,99,1948
961,Kevin Porter,183,77,1950
962,Jim Price,190,88,1949
963,Mike Ratliff,208,104,1951
964,Tom Riker,208,102,1950
965,Ron Riley,203,88,1950
966,Frank Russell,190,81,1949
967,Frank Schade,185,77,1950
968,Sam Sibert,201,97,1949
969,Bud Stallworth,196,86,1950
970,Paul Stovall,193,97,1948
971,Chuck Terry,198,97,1950
972,Justus Thigpen,185,72,1947
973,John Tschogl,198,93,1950
974,Paul Westphal,193,88,1950
975,Harthorne Wingo,198,95,1947
976,Joby Wright,203,99,1950
977,Mike Bantom,206,90,1951
978,Ron Behagen,206,83,1951
979,Dennis Bell,196,83,1951
980,Jim Brewer,206,95,1951
981,Allan Bristow,201,95,1951
982,John Brown,201,99,1951
983,Larry Cannon,193,88,1947
984,Bill Chamberlain,198,85,1949
985,Ken Charles,190,81,1951
986,E.C. Coleman,190,81,1951
987,Doug Collins,198,81,1951
988,Mike D'Antoni,190,83,1951
989,Mel Davis,198,99,1950
990,Derrek Dickey,201,98,1951
991,Ernie DiGregorio,183,81,1951
992,Steve Downing,203,102,1950
993,Rod Freeman,201,102,1950
994,Bernie Fryer,190,83,1949
995,Jim Garvin,201,90,1950
996,Phil Hankinson,203,88,1951
997,Nate Hawthorne,193,86,1950
998,Tom Ingelsby,190,81,1951
999,Dwight Jones,208,95,1952
1000,Ben Kelso,190,88,1949
1001,Tom Kozelko,203,99,1951
1002,Kevin Kunnert,213,104,1951
1003,Mike Macaluso,196,95,1951
1004,Ted Manakas,188,81,1951
1005,Vester Marshall,201,90,1948
1006,Allie McGuire,188,81,1928
1007,Larry McNeill,206,88,1951
1008,Gary Melchionni,188,83,1951
1009,Louie Nelson,190,86,1951
1010,Jim Owens,196,90,1950
1011,Ed Ratleff,198,88,1950
1012,Joe Reaves,196,95,1950
1013,Mark Sibley,188,79,1950
1014,Bob Verga,185,86,1945
1015,Kermit Washington,203,104,1951
1016,Slick Watts,185,79,1951
1017,Nick Weatherspoon,201,88,1950
1018,Luke Witte,213,106,1950
1019,Dan Anderson,208,104,1943
1020,Jim Ard,203,97,1948
1021,Gus Bailey,196,83,1951
1022,Leon Benbow,193,83,1950
1023,Ken Boyd,196,88,1952
1024,Gary Brokaw,193,80,1954
1025,Tom Burleson,218,102,1952
1026,Harvey Catchings,206,98,1951
1027,Jim Chones,211,99,1949
1028,Ben Clyde,201,89,1951
1029,Jesse Dark,196,95,1951
1030,Rod Derline,183,79,1952
1031,John Drew,198,92,1954
1032,Dennis DuVal,190,79,1952
1033,Al Eberhard,198,102,1952
1034,Leonard Gray,203,108,1951
1035,Bernie Harris,208,90,1950
1036,Steve Hawes,206,99,1950
1037,Tom Henderson,190,86,1952
1038,Greg Jackson,183,81,1952
1039,Wardell Jackson,201,90,1951
1040,Aaron James,203,95,1952
1041,Mickey Johnson,208,86,1952
1042,Jimmy Jones,193,85,1945
1043,Frank Kendrick,198,89,1950
1044,Len Kosmalski,213,111,1951
1045,Bill Ligon,193,81,1952
1046,Phil Lumpkin,183,74,1951
1047,Glenn McDonald,198,86,1952
1048,Eric Money,183,77,1955
1049,Connie Norman,190,79,1953
1050,Kevin Restani,206,102,1951
1051,Truck Robinson,201,102,1951
1052,Campy Russell,196,98,1944
1053,Fred Saunders,201,95,1951
1054,Tal Skinner,196,88,1952
1055,Don Smith,188,86,1920
1056,Phil Smith,193,83,1952
1057,Mike Sojourner,206,102,1953
1058,Kevin Stacom,190,83,1951
1059,George Thompson,188,90,1947
1060,Dean Tolson,203,86,1951
1061,Foots Walker,183,83,1951
1062,Bill Walton*,211,95,1952
1063,Perry Warbington,188,74,1952
1064,Stan Washington,193,86,1952
1065,Scott Wedman,201,97,1952
1066,Owen Wells,201,90,1950
1067,Jamaal Wilkes*,198,86,1953
1068,Earl Williams,201,104,1951
1069,Bobby Wilson,193,83,1926
1070,Brian Winters,193,83,1952
1071,Alvan Adams,206,95,1954
1072,Jerome Anderson,196,88,1953
1073,Jerry Baskerville,201,86,1951
1074,Bob Bigelow,201,97,1953
1075,Tom Boswell,206,99,1953
1076,Junior Bridgeman,196,95,1953
1077,Joe Bryant,206,83,1954
1078,Al Carlson,211,106,1951
1079,Jim Creighton,203,90,1950
1080,Darryl Dawkins,211,113,1957
1081,Henry Dickerson,193,86,1951
1082,Eric Fernsten,208,92,1953
1083,Larry Fogle,196,92,1953
1084,Don Ford,206,97,1952
1085,World B.,206,97,1952
1086,Donnie Freeman,190,83,1944
1087,Kevin Grevey,196,95,1953
1088,Bob Gross,198,90,1953
1089,Lindsay Hairston,201,81,1951
1090,Glenn Hansen,193,92,1952
1091,Robert Hawkins,193,86,1954
1092,Wilbur Holland,183,79,1951
1093,Lionel Hollins,190,83,1953
1094,Steve Jones,196,92,1942
1095,Rich Kelley,213,106,1953
1096,Tom Kropp,190,92,1953
1097,C.J. Kupec,190,92,1953
1098,John Lambert,208,102,1953
1099,John Laskowski,198,83,1953
1100,Greg Lee,190,86,1951
1101,Clyde Mayes,203,102,1953
1102,Ken Mayfield,188,83,1948
1103,Jim McElroy,190,86,1953
1104,George McGinnis,203,106,1950
1105,Tom McMillen,211,97,1952
1106,Joe Meriweather,208,97,1953
1107,Dave Meyers,203,97,1953
1108,Frank Oleynick,188,83,1955
1109,Cliff Pondexter,206,105,1954
1110,Bill Robinzine,201,104,1953
1111,John Roche,190,77,1949
1112,Bruce Seals,203,95,1953
1113,Ed Searcy,198,95,1952
1114,Gene Short,198,90,1953
1115,John Shumate,206,106,1952
1116,Ricky Sobers,190,89,1953
1117,Terry Thomas,203,99,1953
1118,Rudy White,188,88,1953
1119,Gus Williams,188,79,1953
1120,Bill Willoughby,203,92,1957
1121,Tom Abernethy,201,99,1954
1122,Bird Averitt,185,77,1952
1123,Tom Barker,211,102,1955
1124,Marvin Barnes,203,95,1952
1125,Norton Barnhill,193,92,1953
1126,Mike Barr,190,81,1950
1127,Tim Bassett,203,102,1951
1128,Byron Beck,206,102,1945
1129,Mel Bennett,201,90,1955
1130,Ron Boone,188,90,1946
1131,Quinn Buckner,190,86,1954
1132,Ticky Burden,188,83,1953
1133,Don Buse,193,86,1950
1134,Mack Calvin,183,74,1947
1135,M.L. Carr,183,74,1947
1136,Cornelius Cash,203,97,1952
1137,Norm Cook,203,95,1955
1138,Louie Dampier*,183,77,1944
1139,Mel Daniels*,206,99,1944
1140,Adrian Dantley*,196,94,1956
1141,Johnny Davis,188,77,1955
1142,Ron Davis,198,89,1954
1143,Randy Denton,208,108,1949
1144,Coby Dietrick,208,99,1948
1145,Leon Douglas,208,104,1954
1146,Mike Dunleavy,190,81,1954
1147,Jim Eakins,211,97,1946
1148,Len Elmore,206,99,1952
1149,Darrell Elston,193,86,1952
1150,Alex English*,201,86,1954
1151,Julius Erving*,201,95,1950
1152,Butch Feher,193,83,1954
1153,Mike Flynn,188,81,1953
1154,Terry Furlow,193,86,1954
1155,Mike Gale,193,83,1950
1156,Gus Gerard,203,90,1953
1157,George Gervin*,201,81,1952
1158,Artis Gilmore*,218,108,1949
1159,Mike Green,208,90,1951
1160,Steve Green,201,99,1953
1161,Paul Griffin,206,92,1954
1162,Rudy Hackett,206,95,1953
1163,Phil Hicks,201,92,1953
1164,Armond Hill,193,86,1953
1165,Darnell Hillman,206,97,1949
1166,Mo Howard,188,77,1954
1167,Kim Hughes,211,99,1952
1168,Dan Issel*,206,106,1948
1169,Dennis Johnson*,193,83,1954
1170,Bobby Jones,206,95,1951
1171,Caldwell Jones,211,98,1950
1172,Rich Jones,198,99,1946
1173,Robin Jones,206,102,1954
1174,Wil Jones,190,83,1936
1175,George Karl,190,83,1952
1176,Goo Kennedy,196,92,1949
1177,Larry Kenon,206,92,1952
1178,Billy Knight,198,88,1952
1179,Mitch Kupchak,206,104,1954
1180,Bo Lamar,185,81,1951
1181,Ron Lee,193,87,1952
1182,Scott Lloyd,208,104,1952
1183,John Lucas,190,79,1953
1184,Maurice Lucas,206,97,1952
1185,Moses Malone*,208,97,1955
1186,Scott May,201,97,1954
1187,Andre McCarter,190,86,1953
1188,Ted McClain,185,81,1946
1189,Allen Murphy,196,86,1952
1190,Swen Nater,211,108,1950
1191,Johnny Neumann,198,90,1951
1192,Mark Olberding,203,102,1956
1193,Tom Owens,208,97,1949
1194,Joe Pace,208,99,1953
1195,Robert Parish*,213,104,1953
1196,Sonny Parker,198,90,1955
1197,Billy Paultz,211,106,1948
1198,Marv Roberts,203,90,1950
1199,Dave Robisch,208,106,1949
1200,Marshall Rogers,185,86,1953
1201,Dan Roundfield,203,92,1953
1202,Phil Sellers,193,88,1953
1203,Lonnie Shelton,203,108,1955
1204,James Silas,185,81,1949
1205,Ralph Simpson,196,90,1949
1206,Al Skinner,190,86,1952
1207,Willie Smith,213,99,1949
1208,Keith Starr,198,86,1954
1209,Earl Tatum,196,83,1953
1210,Brian Taylor,188,83,1951
1211,Fatty Taylor,183,79,1946
1212,Ira Terrell,203,90,1954
1213,Claude Terry,193,88,1950
1214,David Thompson*,193,88,1954
1215,Monte Towe,170,68,1953
1216,Dave Twardzik,185,79,1950
1217,Jan Van,185,79,1950
1218,Andy Walker,193,86,1955
1219,Wally Walker,201,86,1954
1220,Lloyd Walton,183,72,1953
1221,Henry Ward,193,88,1952
1222,Richard Washington,211,99,1955
1223,Marvin Webster,216,102,1952
1224,Bob Wilkerson,198,88,1954
1225,Chuck Williams,183,74,1943
1226,Chuckie Williams,183,74,1943
1227,John Williamson,188,83,1951
1228,Willie Wise,196,95,1947
1229,Larry Wright,185,72,1954
1230,Tate Armstrong,190,79,1955
1231,Greg Ballard,201,97,1955
1232,Kent Benson,208,106,1954
1233,Otis Birdsong,190,86,1955
1234,Phil Bond,188,79,1954
1235,Jim Bostic,201,102,1953
1236,Alonzo Bradley,198,86,1953
1237,Mike Bratz,188,83,1955
1238,Wayman Britt,188,83,1952
1239,Kenny Carr,201,99,1955
1240,Bob Carrington,198,88,1953
1241,Wesley Cox,198,97,1955
1242,Charlie Criss,173,74,1948
1243,Mark Crow,201,95,1954
1244,Brad Davis,190,81,1955
1245,Walter Davis,203,92,1931
1246,Jacky Dorsey,201,104,1954
1247,T.R. Dunn,201,104,1954
1248,James Edwards,213,102,1955
1249,Bo Ellis,196,83,1936
1250,Al Fleming,201,97,1954
1251,Bayard Forrest,208,106,1954
1252,Mike Glenn,188,79,1955
1253,Glen Gondrezick,198,98,1955
1254,Rickey Green,183,77,1954
1255,Greg Griffin,201,86,1952
1256,Ernie Grunfeld,198,95,1955
1257,Joe Hassett,196,81,1955
1258,Eddie Johnson,203,92,1944
1259,Larry Johnson,190,92,1954
1260,Marques Johnson,201,98,1956
1261,Eddie Jordan,185,77,1955
1262,Bernard King*,201,92,1956
1263,Toby Knight,206,95,1955
1264,John Kuester,188,81,1955
1265,Tom LaGarde,208,99,1955
1266,Mark Landsberger,203,97,1955
1267,Rich Laurel,198,86,1954
1268,Ricky Marsh,190,90,1954
1269,Cedric Maxwell,203,92,1955
1270,Larry Moffett,203,95,1954
1271,Glenn Mosley,203,88,1955
1272,Norm Nixon,188,77,1955
1273,Eddie Owens,201,95,1953
1274,Ben Poquette,206,106,1955
1275,Robert Reid,203,92,1955
1276,Anthony Roberts,196,83,1955
1277,Tony Robertson,193,88,1956
1278,Tree Rollins,216,106,1955
1279,Alvin Scott,201,83,1955
1280,Steve Sheppard,198,97,1954
1281,Jack Sikma,211,104,1955
1282,Scott Sims,185,77,1955
1283,Robert Smith,180,74,1955
1284,Phil Walker,190,81,1956
1285,Wilson Washington,206,102,1955
1286,Ray Williams,190,85,1954
1287,Kim Anderson,201,90,1955
1288,Del Beshore,180,74,1956
1289,Dennis Boyd,185,79,1954
1290,Winford Boynes,198,83,1957
1291,Ron Brewer,193,81,1955
1292,Greg Bunch,198,86,1956
1293,Marty Byrnes,201,97,1956
1294,Ron Carter,196,86,1956
1295,Maurice Cheeks,185,81,1956
1296,Michael Cooper,196,77,1956
1297,Wayne Cooper,208,99,1956
1298,Dave Corzine,211,113,1956
1299,Geoff Crompton,211,127,1955
1300,Harry Davis,201,99,1956
1301,Bob Elliott,206,102,1955
1302,Ray Epps,198,88,1956
1303,Phil Ford,188,79,1956
1304,Jack Givens,196,92,1956
1305,Tommie Green,188,83,1956
1306,Lars Hansen,208,102,1954
1307,James Hardy,203,99,1956
1308,Keith Herron,198,88,1956
1309,Kenny Higgs,183,81,1955
1310,Essie Hollis,198,88,1955
1311,Otis Howard,201,99,1956
1312,Clemon Johnson,208,108,1956
1313,Jeff Judkins,198,83,1956
1314,Joel Kramer,201,92,1955
1315,Butch Lee,183,83,1956
1316,John Long,196,88,1956
1317,Billy McKinney,183,72,1955
1318,Mike Mitchell,201,97,1956
1319,John Olive,201,95,1955
1320,Roger Phegley,198,92,1956
1321,Stan Pietkiewicz,196,90,1956
1322,Wayne Radford,190,92,1956
1323,Marlon Redmond,198,85,1955
1324,Micheal Ray,198,85,1955
1325,Rick Robey,211,104,1956
1326,Jackie Robinson,198,95,1955
1327,John Rudd,201,104,1955
1328,Frankie Sanders,198,90,1957
1329,Purvis Short,201,95,1957
1330,Sam Smith,201,104,1944
1331,Reggie Theus,201,86,1957
1332,Mychal Thompson,208,102,1955
1333,Raymond Townsend,190,79,1955
1334,Terry Tyler,201,97,1956
1335,Andre Wakefield,190,79,1955
1336,Jerome Whitehead,208,99,1956
1337,Freeman Williams,193,86,1956
1338,Rick Wilson,196,90,1956
1339,James Bailey,206,99,1957
1340,Billy Ray,206,99,1957
1341,Larry Bird*,206,99,1956
1342,Lawrence Boston,203,102,1956
1343,Dudley Bradley,198,88,1957
1344,Bill Cartwright,216,111,1957
1345,Jeff Cook,208,97,1956
1346,Hollis Copeland,198,81,1955
1347,John Coughran,201,102,1951
1348,Terry Crosby,193,88,1957
1349,Pat Cummings,206,104,1956
1350,Paul Dawkins,196,86,1957
1351,Greg Deane,193,86,1957
1352,Larry Demic,206,102,1957
1353,Terry Duerod,188,81,1956
1354,Earl Evans,203,91,1955
1355,Mike Evans,185,77,1955
1356,Gary Garland,193,81,1957
1357,Dave Greenwood,206,100,1957
1358,Roy Hamilton,188,81,1957
1359,Gerald Henderson,188,79,1956
1360,Johnny High,190,83,1957
1361,Brad Holland,190,81,1956
1362,Phil Hubbard,203,97,1956
1363,Geoff Huston,188,79,1957
1364,Abdul Jeelani,203,95,1954
1365,Cheese Johnson,183,77,1949
1366,Magic Johnson*,201,98,1956
1367,Vinnie Johnson,188,90,1956
1368,Major Jones,206,102,1953
1369,Greg Kelser,201,86,1957
1370,Irv Kiffin,206,102,1951
1371,Carl Kilpatrick,208,104,1956
1372,Reggie King,198,102,1957
1373,Arvid Kramer,206,99,1956
1374,Allen Leavell,185,77,1957
1375,Ollie Mack,190,83,1957
1376,Steve Malovic,208,104,1956
1377,Paul Mokeski,213,113,1957
1378,Sidney Moncrief,190,81,1957
1379,Calvin Natt,198,99,1957
1380,Sylvester Norris,211,99,1957
1381,Wiley Peck,201,99,1957
1382,Sam Pellom,206,102,1951
1383,Clint Richardson,190,88,1956
1384,Cliff Robinson,206,99,1960
1385,Jim Spanarkel,196,86,1957
1386,Bernard Toone,206,95,1956
1387,Duck Williams,188,81,1956
1388,Sly Williams,201,95,1958
1389,Bubba Wilson,190,79,1955
1390,Tony Zeno,203,95,1957
1391,Darrell Allums,206,99,1958
1392,Norman Black,196,83,1957
1393,Dave Britton,193,81,1958
1394,Michael Brooks,201,99,1958
1395,Lewis Brown,190,86,1919
1396,Rickey Brown,208,97,1958
1397,Joe Barry,193,88,1969
1398,Butch Carter,196,81,1958
1399,Reggie Carter,190,79,1957
1400,Art Collins,193,83,1954
1401,Don Collins,198,81,1951
1402,Darwin Cook,190,83,1958
1403,Earl Cureton,206,95,1957
1404,Monti Davis,201,92,1958
1405,James Donaldson,218,124,1957
1406,Larry Drew,185,77,1958
1407,Ralph Drollinger,218,113,1954
1408,John Duren,190,88,1958
1409,Tony Fuller,193,81,1958
1410,Calvin Garrett,201,86,1956
1411,Mike Gminski,211,113,1959
1412,Darrell Griffith,193,86,1958
1413,Bill Hanzlik,201,83,1957
1414,Alan Hardy,201,88,1957
1415,Mike Harper,208,88,1957
1416,Cedrick Hordges,203,99,1957
1417,Tony Jackson,193,90,1942
1418,Lee Johnson,211,92,1957
1419,Reggie Johnson,206,92,1957
1420,Edgar Jones,208,102,1956
1421,Walter Jordan,201,89,1956
1422,Clarence Kea,198,98,1959
1423,Chad Kinch,193,86,1958
1424,Wayne Kreklow,193,79,1957
1425,Bill Laimbeer,211,111,1957
1426,Edmund Lawrence,213,103,1952
1427,Ronnie Lester,188,79,1959
1428,Kyle Macy,190,79,1957
1429,Rick Mahorn,208,108,1958
1430,Wes Matthews,185,77,1959
1431,Bill Mayfield,201,92,1957
1432,Keith McCord,201,95,1957
1433,Kevin McHale*,208,95,1957
1434,Dick Miller,198,97,1958
1435,Johnny Moore,185,79,1958
1436,Lowes Moore,185,77,1957
1437,Kenny Natt,190,83,1958
1438,Carl Nicks,185,79,1958
1439,Mike Niles,198,102,1955
1440,Mike O'Koren,201,93,1958
1441,Jawann Oldham,213,97,1957
1442,Louis Orr,203,79,1958
1443,Myles Patrick,203,99,1954
1444,Tony Price,198,86,1957
1445,Wally Rank,198,99,1958
1446,Kelvin Ransey,185,77,1958
1447,James Ray,203,97,1957
1448,Billy Reid,196,86,1957
1449,Wayne Robinson,203,98,1958
1450,Lorenzo Romar,185,79,1958
1451,DeWayne Scales,203,94,1958
1452,Craig Shelton,201,95,1957
1453,Jerry Sichting,185,76,1956
1454,Larry Smith,203,97,1958
1455,Rory Sparrow,188,79,1958
1456,John Stroud,201,97,1957
1457,Carlos Terry,196,95,1956
1458,Andrew Toney,190,80,1957
1459,Ronnie Valentine,201,95,1957
1460,Kiki Vandeweghe,203,99,1958
1461,Brett Vroman,213,99,1955
1462,Hawkeye Whitney,201,104,1939
1463,Michael Wiley,206,90,1957
1464,James Wilkes,198,86,1953
1465,Jeff Wilkins,211,104,1955
1466,Mike Woodson,196,88,1958
1467,Sam Worthen,196,88,1958
1468,Mark Aguirre,198,105,1959
1469,Danny Ainge,193,79,1959
1470,Carl Bailey,213,95,1958
1471,Gene Banks,201,97,1959
1472,Rolando Blackman,198,86,1959
1473,Ray Blume,193,83,1958
1474,Alex Bradley,198,86,1953
1475,Charles Bradley,196,97,1959
1476,Brad Branson,208,99,1958
1477,Jim Brogan,193,83,1958
1478,Roger Burkman,196,79,1958
1479,David Burns,188,81,1958
1480,Bobby Cattage,206,113,1958
1481,Tom Chambers,208,99,1959
1482,Joe Cooper,208,104,1957
1483,Charles Davis,188,72,1949
1484,Kenny Dennard,203,99,1958
1485,Mickey Dillard,190,77,1958
1486,John Douglas,188,77,1956
1487,Craig Dykema,203,86,1959
1488,Franklin Edwards,185,77,1959
1489,Petur Gudmundsson,218,117,1958
1490,Glenn Hagan,183,77,1955
1491,Steve Hayes,213,92,1955
1492,Tracy Jackson,198,92,1959
1493,Clay Johnson,208,108,1956
1494,Frank Johnson,185,83,1958
1495,Steve Johnson,203,99,1944
1496,Albert King,198,86,1959
1497,Jeff Lamp,198,88,1959
1498,Rock Lee,193,87,1952
1499,Alton Lister,213,108,1958
1500,Lewis Lloyd,198,92,1959
1501,Kevin Loder,198,92,1959
1502,Rudy Macklin,201,92,1958
1503,John McCullough,193,86,1956
1504,Hank McDowell,206,97,1959
1505,Mike McGee,196,86,1959
1506,Kevin McKenna,196,88,1959
1507,Larry Nance,208,92,1959
1508,Kurt Nimphius,208,98,1958
1509,Mark Radford,193,86,1959
1510,Ed Rains,201,86,1956
1511,Kurt Rambis,203,96,1958
1512,Jeff Ruland,208,108,1958
1513,Danny Schayes,211,106,1959
1514,Jim Smith,206,102,1958
1515,Larry Spriggs,201,104,1959
1516,Isiah Thomas*,185,81,1961
1517,Ray Tolbert,206,102,1958
1518,Kelly Tripucka,198,99,1959
1519,Elston Turner,196,86,1959
1520,Darnell Valentine,185,83,1959
1521,Pete Verhoeven,206,97,1959
1522,Jay Vincent,201,99,1959
1523,Danny Vranes,201,95,1958
1524,Buck Williams,203,97,1960
1525,Herb Williams,208,109,1958
1526,Garry Witts,201,86,1959
1527,Al Wood,198,87,1958
1528,Howard Wood,201,106,1959
1529,Orlando Woolridge,206,97,1959
1530,Rich Yonakor,206,99,1958
1531,Dwight Anderson,190,83,1960
1532,J.J. Anderson,190,83,1960
1533,Richard Anderson,208,108,1960
1534,John Bagley,183,83,1960
1535,Dave Batton,208,108,1956
1536,Lester Conner,193,81,1959
1537,Chubby Cox,188,81,1955
1538,Terry Cummings,206,99,1961
1539,Quintin Dailey,190,81,1961
1540,Mark Eaton,224,124,1957
1541,Jerry Eaves,193,81,1959
1542,Keith Edmonson,196,88,1960
1543,Chris Engler,211,111,1959
1544,Bruce Flowers,203,102,1957
1545,Sleepy Floyd,190,77,1960
1546,Bill Garnett,208,99,1940
1547,John Greig,201,97,1961
1548,Scott Hastings,208,106,1960
1549,Rod Higgins,201,90,1960
1550,Craig Hodges,188,86,1960
1551,Marc Iavaroni,203,95,1956
1552,Jim Johnstone,211,111,1960
1553,Hutch Jones,203,86,1959
1554,Clark Kellogg,201,102,1961
1555,Joe Kopicki,206,108,1960
1556,Fat Lever,190,77,1960
1557,Cliff Levingston,203,95,1961
1558,Steve Lingenfelter,206,102,1958
1559,Dave Magley,203,91,1959
1560,Mark McNamara,211,106,1959
1561,Guy Morgan,203,92,1960
1562,Ed Nealy,201,107,1960
1563,Chuck Nevitt,226,98,1959
1564,Audie Norris,206,104,1960
1565,Eddie Phillips,201,102,1961
1566,Ricky Pierce,193,92,1959
1567,Charles Pittman,203,99,1958
1568,Paul Pressey,196,83,1958
1569,Oliver Robinson,193,81,1960
1570,Walker Russell,196,88,1960
1571,Mike Sanders,198,95,1960
1572,Russ Schoene,208,95,1960
1573,Ed Sherod,188,77,1959
1574,Jose Slaughter,196,92,1960
1575,Derek Smith,190,81,1920
1576,Brook Steppe,196,88,1959
1577,Jeff Taylor,193,79,1960
1578,Vince Taylor,196,81,1960
1579,Terry Teagle,196,88,1960
1580,David Thirdkill,201,88,1960
1581,Corny Thompson,203,102,1960
1582,LaSalle Thompson,208,111,1961
1583,Darren Tillis,211,97,1960
1584,Linton Townes,201,86,1959
1585,Trent Tucker,196,87,1959
1586,Bryan Warrick,196,88,1959
1587,Rory White,203,95,1959
1588,Dominique Wilkins*,201,90,1960
1589,Rickey Williams,185,79,1957
1590,Rob Williams,190,85,1944
1591,James Worthy*,206,102,1961
1592,Jim Zoet,216,108,1953
1593,Ken Austin,206,92,1961
1594,Thurl Bailey,211,97,1961
1595,Randy Breuer,221,104,1960
1596,Wallace Bryant,213,111,1959
1597,Howard Carter,196,97,1961
1598,Carlos Clark,193,95,1960
1599,Leroy Combs,203,95,1961
1600,Russell Cross,208,97,1961
1601,Darren Daye,203,99,1960
