,Player,height,weight,born
186,Fred Scolari,178,81,1922
187,Wayne See,190,86,1923
188,Glen Selbo,190,88,1926
189,Rollie Seltz,178,74,1924
190,Jim Seminoff,188,86,1922
191,George Senesky,188,81,1922
192,Paul Seymour,185,81,1928
193,Carl Shaeffer,190,83,1924
194,Howie Shannon,188,79,1923
195,Charley Shipp,185,90,1913
196,Connie Simmons,203,100,1925
197,Belus Smawley,185,88,1918
198,Jack Smiley,190,86,1922
199,Chips Sobek,183,81,1920
200,Odie Spears,196,92,1925
201,Art Spector,193,90,1920
202,Ed Stanczak,185,83,1921
203,Gene Stump,188,83,1923
204,Mike Todorovich,196,99,1923
205,Jack Toomay,198,97,1922
206,Bob Tough,183,83,1920
207,Blackie Towery,193,95,1920
208,Dick Triptow,183,77,1922
209,Butch Van,183,77,1922
210,Gene Vance,190,88,1923
211,Ernie Vandeweghe,190,88,1928
212,Floyd Volker,193,92,1921
213,Whitey Von,193,92,1921
214,Clint Wager,198,95,1920
215,Danny Wagner,183,77,1922
216,Brady Walker,198,92,1921
217,Paul Walther,188,72,1927
218,Bobby Wanzer*,183,77,1921
219,Murray Wier,175,70,1926
220,D.C. Wilcutt,175,70,1926
221,Bob Wood,175,70,1921
222,Max Zaslofsky,188,77,1925
223,nan,,,
224,Paul Arizin*,193,86,1928
225,Ed Beach,190,90,1929
226,Leon Blevins,188,72,1926
227,Ike Borsavage,203,99,1924
228,Art Burris,196,99,1924
229,Gerry Calabrese,185,79,1925
230,Cal Christensen,196,95,1927
231,Nat Clifton*,198,99,1922
232,Chuck Cooper,196,95,1926
233,Bob Cousy*,185,79,1928
234,Hank DeZonie,198,97,1922
235,Bob Donham,188,86,1926
236,Ray Ellefson,203,104,1922
237,Larry Foust,206,97,1928
238,Ed Gayda,193,95,1927
239,Joe Hutton,185,77,1928
240,Bob Lavoy,201,83,1926
241,Earl Lloyd*,196,90,1928
242,Don Lofgran,196,90,1928
243,Norm Mager,196,83,1926
244,Joe McNamee,198,95,1926
245,Chuck Mrazovich,196,83,1924
246,Ken Murray,188,86,1928
247,Tommy O'Keefe,188,83,1928
248,Kevin O'Shea,188,79,1925
249,Don Rehfeldt,201,95,1927
250,Jim Riffey,193,90,1923
251,Alan Sawyer,196,88,1928
252,Herb Scherer,206,96,1928
253,Dick Schnittker,196,90,1928
254,Bill Sharman*,185,79,1926
255,Don Barksdale*,198,90,1923
256,Elmer Behnke,201,95,1929
257,Stan Brown,190,90,1929
258,Ed Dahler,196,86,1926
259,Nate DeLong,198,99,1926
260,Dick Dickey,185,79,1926
261,Jake Fendley,183,81,1929
262,Jerry Fowler,203,104,1927
263,Lew Hitch,203,90,1929
264,Mel Hutchins,198,90,1928
265,Neil Johnston*,203,95,1929
266,Jack Kiley,185,77,1929
267,George King,183,79,1928
268,John McConathy,196,88,1930
269,Alfred McGuire*,188,81,1928
270,Dave Minor,188,83,1922
271,Ralph O'Brien,175,72,1928
272,Wally Osterkorn,196,97,1928
273,Mel Payton,193,83,1926
274,John Pilch,190,83,1925
275,Ray Ragelis,193,92,1928
276,Sam Ranzino,185,83,1927
277,John Rennicke,188,83,1929
278,Don Savage,190,92,1928
279,Chuck Share,211,106,1927
280,Zeke Sinicola,178,74,1929
281,Whitey Skoog,180,81,1926
282,Jim Slaughter,211,95,1928
283,Bill Tosheff,185,79,1926
284,Bob Wilson,193,83,1926
285,Jim Baechtold,193,92,1927
286,Jim Brasco,185,77,1931
287,Dick Bunt,183,77,1930
288,Gene Conley,203,102,1930
289,Pete Darcey,201,98,1930
290,Blaine Denning,188,79,1930
291,Danny Finn,185,83,1928
292,Dick Groat,180,81,1930
293,Don Hanrahan,201,90,1929
294,Don Henriksen,201,102,1929
295,Jim Holstein,190,81,1930
296,Bob Lochmueller,196,83,1927
297,Mo Mahoney,188,92,1927
298,Al Masino,178,78,1928
299,Jack McCloskey,188,86,1925
300,Bucky McConnell,178,77,1928
301,George McLeod,196,90,1931
302,Jack McMahon,185,83,1928
303,Monk Meineke,201,94,1930
304,Eddie Miller,203,102,1931
305,Bill Mlkvy,193,86,1931
306,Jim Mooney,196,97,1930
307,Bob Naber,190,83,1929
308,John O'Boyle,188,83,1928
309,Mike O'Neill,190,95,1928
310,Claude Overton,188,88,1927
311,Ralph Polson,201,90,1929
312,Bob Priddy,190,86,1930
313,Moe Radovich,183,72,1929
314,Sherwin Raiken,188,83,1928
315,Gene Rhodes,185,77,1927
316,Dick Surhoff,193,95,1929
317,Mark Workman,206,97,1930
318,Zeke Zawoluk,201,97,1930
319,Don Ackerman,183,83,1930
320,Don Asmonga,188,83,1928
321,Ernie Barrett,190,81,1929
322,Ernie Beck,193,86,1931
323,Irv Bemoras,190,83,1930
324,Bill Bolger,196,92,1931
325,Walt Davis,203,92,1931
326,Gene Dyker,198,102,1930
327,Ed Earle,190,86,1927
328,Ray Felix,211,99,1930
329,Jim Fritsche,203,95,1931
330,Jack George,188,86,1928
331,Bato Govedarica,180,83,1928
332,Norm Grekin,196,81,1930
333,Rollen Hans,188,95,1931
334,Bob Houbregs*,201,95,1932
335,Billy Kenville,188,84,1930
336,Dick Knostman,198,97,1931
337,Clyde Lovellette*,206,106,1929
338,Jim Luisi,188,81,1928
339,Jack Molinas,198,90,1931
340,Jim Neal,211,106,1930
341,Paul Nolen,211,106,1929
342,Bob Peterson,196,95,1932
343,James Phelan,196,88,1925
344,Connie Rea,190,79,1935
345,Frank Reddout,196,88,1935
346,Al Roges,193,88,1930
347,Ed Smith,198,81,1929
348,Joe Smyth,190,97,1929
349,Don Sunderlage,185,81,1929
350,Norm Swanson,198,95,1930
351,Hal Uplinger,193,83,1929
352,Isaac Walthour,180,73,1930
353,George Yardley*,196,86,1928
354,Don Anielak,201,86,1930
355,Tom Brennan,190,88,1930
356,Bob Carney,190,77,1932
357,Fred Christ,193,95,1930
358,Bert Cook,190,83,1929
359,Larry Costello,185,84,1931
360,George Dempsey,188,86,1929
361,Fred Diute,190,95,1929
362,Dick Farley,193,86,1932
363,Chuck Grigsby,196,86,1928
364,Herm Hedderick,196,77,1930
365,Ed Kalafat,198,111,1932
366,Mike Kearns,188,80,1929
367,Red Kerr,206,104,1932
368,Dan King,198,99,1931
369,Bob Knight,188,83,1929
370,Ronnie MacGilvray,188,83,1930
371,Tom Marshall,193,97,1931
372,Phil Martin,190,86,1928
373,Ken McBride,190,86,1928
374,Carl McNulty,190,83,1930
375,Jackie Moore,196,81,1932
376,Red Morrison,203,99,1932
377,Boris Nachamkin,198,95,1933
378,Togo Palazzi,193,92,1932
379,Bob Pettit*,206,92,1932
380,Frank Ramsey*,190,86,1931
381,Dick Rosenthal,196,92,1930
382,Frank Selvy,190,81,1932
383,Gene Shue,188,77,1931
384,Art Spoelstra,206,99,1932
385,Jim Tucker,201,83,1932
386,Jack Turner,193,77,1930
387,Bobby Watson,183,72,1930
388,Skippy Whitaker,185,81,1930
389,Jesse Arnelle,196,99,1933
390,Dick Atha,188,86,1931
391,Don Bielke,201,108,1931
392,Ed Conlin,196,90,1933
393,Red Davis,201,99,1932
394,Corky Devlin,196,88,1931
395,Walter Dukes,213,99,1930
396,Ron Feiereisel,190,83,1931
397,Al Ferrari,193,86,1933
398,Ed Fleming,190,85,1933
399,Dick Garmaker,190,90,1932
400,Tom Gola*,198,92,1933
401,Chris Harris,190,86,1933
402,Dick Hemric,198,99,1933
403,Larry Hennessy,190,83,1929
404,Johnny Horan,203,86,1932
405,Jim Loscutoff,196,99,1930
406,Chuck Mencel,183,76,1933
407,Chuck Noble,193,86,1931
408,Med Park,188,92,1933
409,Richie Regan,188,81,1930
410,Dick Ricketts,201,97,1933
411,Bob Santini,196,86,1935
412,Bob Schafer,190,88,1935
413,Kenny Sears,206,89,1933
414,Jack Stephens,190,83,1933
415,Maurice Stokes*,201,105,1933
416,Jack Twyman*,198,95,1934
417,Bob Williams,198,104,1931
418,Forest Able,190,81,1932
419,Bob Armstrong,203,99,1933
420,John Barber,198,95,1927
421,Gary Bergen,203,95,1932
422,Al Bianchi,190,83,1932
423,Bob Burrow,201,103,1934
424,Si Green,188,83,1933
425,Richie Guerin*,193,88,1932
426,Cliff Hagan*,193,95,1931
427,Tom Heinsohn*,201,98,1934
428,Joe Holup,198,97,1934
429,Bob Hopkins,203,92,1934
430,Phil Jordon,208,92,1933
431,Hal Lear,183,73,1935
432,Slick Leonard*,190,83,1932
433,Johnny McCarthy,185,83,1934
434,Willie Naulls,198,102,1934
435,Jim Paxson,198,90,1932
436,Dave Piontek,198,104,1934
437,Jim Ray,185,81,1934
438,Bill Russell*,208,97,1934
439,Ron Shavlik,203,90,1933
440,Ron Sobie,190,83,1934
441,Norm Stewart,196,92,1935
442,Bill Thieben,201,97,1935
443,Lou Tsioropoulos,196,86,1930
444,Doug Bolstorff,193,88,1931
445,George Brown,198,86,1935
446,Dick Duckett,185,83,1933
447,Pat Dunn,188,77,1931
448,Bill Ebben,193,86,1935
449,Bo Erias,190,99,1932
450,Larry Friend,193,83,1935
451,Hot Rod,193,83,1935
452,McCoy Ingram,203,95,1931
453,Sam Jones*,193,89,1933
454,Jim Krebs,203,104,1935
455,Brendan McCann,188,80,1935
456,Worthy Patterson,188,79,1931
457,Jerry Paulson,188,83,1935
458,Ray Radziszewski,196,95,1935
459,Lennie Rosenbluth,193,86,1933
460,Woody Sauldsberry,201,99,1934
461,Guy Sparrow,198,98,1932
462,Charlie Tyra,203,104,1935
463,Jim Walsh,193,88,1930
464,Win Wilfong,188,83,1933
465,Elgin Baylor*,196,102,1934
466,Jerry Bird,198,95,1935
467,Bucky Bockhorn,193,90,1933
468,Pete Brennan,198,92,1936
469,Barney Cable,201,79,1935
470,Archie Dees,203,92,1936
471,Connie Dierking,206,100,1936
472,Boo Ellis,196,83,1936
473,Wayne Embry*,203,108,1937
474,Mike Farmer,201,95,1936
475,Dave Gambee,198,97,1937
476,Hal Greer*,188,79,1936
477,Steve Hamilton,198,86,1935
478,Vern Hatton,190,88,1936
479,Andy Johnson,196,97,1932
480,K.C. Jones*,196,97,1932
481,Tommy Kearns,180,83,1936
482,Shellie McMillon,196,92,1936
483,Jim Palmer,203,101,1933
484,Jack Parr,206,99,1936
485,Hub Reed,206,97,1936
486,Guy Rodgers*,183,83,1935
487,Phil Rollins,188,83,1934
488,Larry Staverman,201,92,1936
489,Bennie Swain,203,99,1933
490,Gary Alcorn,206,102,1936
491,Bob Anderegg,190,90,1937
492,Dick Barnett,193,86,1936
493,Whitey Bell,183,81,1932
494,Wilt Chamberlain*,216,124,1936
495,Bob Ferry,203,104,1937
496,Johnny Green,196,90,1933
497,Gene Guarilia,196,99,1937
498,Tom Hawkins,196,95,1936
499,Bailey Howell*,201,95,1937
500,Maury King,188,88,1935
501,Rudy LaRusso,201,99,1937
502,Nick Mantis,190,86,1935
503,Cal Ramsey,193,90,1937
504,John Richter,206,102,1937
505,Joe Ruklick,206,99,1938
506,Bobby Smith,193,86,1937
507,Wayne Stevens,190,83,1936
508,Tony Windis,185,72,1933
509,Al Attles,183,79,1936
510,Bob Boozer,203,97,1937
511,Dave Budd,198,92,1938
512,Ralph Davis,193,81,1938
513,Swede Halbrook,221,106,1933
514,Darrall Imhoff,208,99,1938
515,Ron Johnson,203,97,1938
516,Howie Jolliff,203,97,1938
517,Willie Jones,190,83,1936
518,Pickles Kennedy,180,81,1938
519,Fred LaCour,196,95,1938
520,George Lee,193,90,1936
521,Bob McNeill,185,77,1938
522,Jackie Moreland,201,97,1938
523,Don Ohl,190,86,1936
524,Joe Roberts,198,97,1936
525,Oscar Robertson*,196,92,1938
526,Tom Sanders*,198,95,1938
527,Jerry West*,188,79,1938
528,Lenny Wilkens*,185,81,1937
529,Stacey Arceneaux,193,95,1936
530,Walt Bellamy*,211,102,1939
531,George Blaney,185,79,1939
532,George Bon,185,79,1939
533,Joe Buckhalter,201,95,1937
534,Cleveland Buckner,206,95,1938
535,Ed Burton,198,102,1939
536,Donnie Butcher,188,90,1936
537,Al Butler,188,79,1938
538,Howie Carl,175,72,1938
539,Jimmy Darrow,178,77,1937
540,Johnny Egan,180,81,1939
541,Rich Eichhorst,180,81,1939
542,Cleo Hill,185,83,1938
543,Ron Horn,201,99,1938
544,Doug Kistler,206,95,1938
545,York Larese,193,83,1938
546,Ted Luckenbill,198,92,1939
547,Whitey Martin,188,83,1939
548,Tom Meschery,198,97,1938
549,Paul Neumann,185,79,1938
550,Bevo Nordmann,208,102,1939
551,Chuck Osborne,198,95,1939
552,Gary Phillips,190,85,1939
553,Frank Radovich,203,106,1938
554,Ray Scott,206,97,1938
555,Lee Shaffer,201,99,1939
556,Bob Sims,196,99,1938
557,Adrian Smith,185,81,1936
558,Bill Smith,196,86,1939
559,Sam Stith,188,83,1937
560,Horace Walker,190,95,1937
561,Bob Wiesenhahn,193,97,1938
562,Wayne Yates,203,106,1937
563,Dave Zeller,185,79,1939
564,John Barnhill,185,81,1938
565,Zelmo Beaty*,206,102,1939
566,Bill Bridges,198,103,1939
567,Len Chappell,203,108,1941
568,Johnny Cox,193,81,1936
569,Dave DeBusschere*,198,99,1940
570,Terry Dischinger,201,85,1940
571,Danny Doyle,203,90,1940
572,Bob Duffy,193,79,1922
573,Leroy Ellis,208,95,1940
574,Dave Fedor,198,86,1940
575,Jack Foley,190,77,1939
576,Dave Gunther,201,86,1937
577,Charlie Hardnett,203,102,1938
578,John Havlicek*,196,92,1940
579,Wayne Hightower,203,87,1940
580,Paul Hogue,203,87,1940
581,Kevin Loughery,190,86,1940
582,Bill McGill,206,102,1939
583,Porter Meriwether,188,81,1940
584,Howie Montgomery,196,99,1940
585,Don Nelson*,198,95,1940
586,Mel Nowell,188,77,1939
587,Bud Olsen,203,99,1940
588,John Rudometkin,198,92,1940
589,Jeff Slade,198,99,1941
590,Tom Stith,196,95,1939
591,Dan Swartz,193,97,1934
592,Dan Tieman,183,83,1940
593,Gene Tormohlen,183,83,1940
594,Chico Vaughn,188,86,1940
595,Chet Walker*,198,96,1940
596,Ben Warley,196,90,1936
597,Ralph Wells,185,81,1940
598,Hubie White,193,92,1940
599,Gene Wiley,208,95,1937
600,Jay Arnette,188,79,1938
601,Larry Comley,196,95,1939
602,Mel Gibson,190,81,1940
603,Jerry Greenspan,196,88,1941
604,Reggie Harding,213,112,1942
605,Jerry Harkness,188,79,1940
606,Art Heyman,196,92,1941
607,Gary Hill,193,83,1941
608,Tom Hoover,206,104,1941
609,Gus Johnson*,198,104,1938
610,Jim King,188,79,1941
611,Don Kojis,196,97,1939
612,Jerry Lucas*,203,104,1940
613,Eddie Miles,193,88,1940
614,Mel Peterson,193,83,1938
615,Ken Rohloff,183,88,1939
616,Larry Siegfried,190,86,1939
617,Roger Strickland,196,90,1940
618,Tom Thacker,188,77,1939
619,Rod Thorn,193,88,1941
620,Nate Thurmond*,211,102,1941
621,Gerry Ward,193,88,1941
622,John Windsor,203,97,1940
623,Jim Barnes,203,95,1941
624,Ron Bonham,196,87,1942
625,Gary Bradds,203,95,1942
626,Em Bryant,185,79,1938
627,Joe Caldwell,196,88,1941
628,Mel Counts,213,104,1941
629,Steve Courtin,185,85,1942
630,Jerry Grote,193,97,1940
631,Happy Hairston,201,102,1942
632,Walt Hazzard,201,102,1942
633,Les Hunter,201,95,1942
634,Luke Jackson,206,108,1941
635,Larry Jones,188,81,1942
636,Wali Jones,193,102,1926
637,Howard Komives,185,83,1941
638,Bud Koper,198,95,1942
639,Barry Kramer,193,90,1942
640,McCoy McLemore,201,104,1942
641,Jeff Mullins,193,86,1942
642,Cotton Nash,196,97,1942
643,Willis Reed*,206,106,1942
644,Paul Silas,201,99,1943
645,John Thompson*,208,102,1941
646,John Tresvant,201,97,1939
647,George Wilson,203,102,1942
648,Rick Barry*,201,92,1944
